fecha	modo	ref	sha	variante	xcode	swift	sdk	runtime	dispositivo	iteraciones	pasa	falla	detalle
2026-09-21T02:29:28+0200	binding	v2-observable	2dc8276	B	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	18.1 (22B81)	iPhone 16 Pro (86A77B16-F2F9-478D-946D-972AC1411EDF)	3	3	0	
2026-09-21T02:30:40+0200	binding	v2-observable	2dc8276	B	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	18.2 (22C150)	iPhone 16 Pro (28CB5611-6086-4B2C-A543-A2EEE5788FA3)	3	3	0	
2026-09-21T02:31:34+0200	binding	v2-observable	2dc8276	B	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	18.3.1 (22D8075)	iPhone 16 Pro (F784C398-72B1-437F-A969-5C9465EB9FFA)	3	3	0	
2026-09-21T02:32:31+0200	binding	v2-observable	2dc8276	B	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	18.4 (22E238)	iPhone 16 Pro (C20ADC78-E469-46DC-93C3-80E096BA40E5)	3	3	0	
2026-09-21T02:33:26+0200	binding	v2-observable	2dc8276	B	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	18.5 (22F77)	iPhone 16 Pro (3A86540A-670C-4A3E-9FD3-B3CBB07BF853)	3	3	0	
2026-09-21T02:44:25+0200	binding	v2-observable	2dc8276	B	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	17.2 (21C62)	iPhone 15 Pro (B715C7AC-B3BC-4B6B-8D4B-066B0C27A5BD)	3	0	3	"MenuTabUITests.swift:38: XCTAssertTrue failed - Tras pulsar Menu debe seguir seleccionada la pestaña anterior (Second); seleccionadas: [""Menu""], contenido visible: [""content-menu""]"
2026-09-21T02:45:15+0200	binding	v2-observable	2dc8276	B	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	27.0 (24A434)	iPhone 18 Pro (05C309CD-551D-450E-ABEF-90FDA21C10C6)	3	3	0	
2026-09-21T02:46:33+0200	binding	v1-observableobject	8d32e3d	B	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	17.2 (21C62)	iPhone 15 Pro (B715C7AC-B3BC-4B6B-8D4B-066B0C27A5BD)	3	0	3	"MenuTabUITests.swift:38: XCTAssertTrue failed - Tras pulsar Menu debe seguir seleccionada la pestaña anterior (Second); seleccionadas: [""Menu""], contenido visible: [""content-menu""]"
2026-09-21T02:47:18+0200	binding	v1-observableobject	8d32e3d	B	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	27.0 (24A434)	iPhone 18 Pro (05C309CD-551D-450E-ABEF-90FDA21C10C6)	3	3	0	
2026-09-21T02:48:02+0200	binding	v2-observable	2dc8276	A	Xcode 27.0 Build version 27A266a	swift-driver version: 1.168.6 Apple Swift version 6.4 (swiftlang-6.4.0.34.1 clang-2100.3.34.1)	iOS-27.0	17.2 (21C62)	iPhone 15 Pro (B715C7AC-B3BC-4B6B-8D4B-066B0C27A5BD)	3	3	0	
